epoch, f1, accuracy, precision, recall
250, 0.782236712439, 0.955915876116, 0.717238789356, 0.860189144274
500, 0.805667145158, 0.965157435826, 0.82783763198, 0.784653189609
750, 0.830776796883, 0.967933454241, 0.807767552765, 0.855135310729
1000, 0.824948111007, 0.96519187128, 0.767981462762, 0.891043117609
1250, 0.84876197259, 0.971046107701, 0.817377189687, 0.882653152729
1500, 0.854531471869, 0.971596958705, 0.808340732393, 0.90632106835
1750, 0.858532785348, 0.972613025484, 0.8183836305, 0.902824533941
2000, 0.857058051306, 0.972510416667, 0.821934749573, 0.895317164872
2250, 0.86866488989, 0.976138788132, 0.880357395776, 0.857278902045
2500, 0.867086908961, 0.974955008371, 0.847581271992, 0.887511471346
2750, 0.868295412008, 0.975072753906, 0.845201485701, 0.892686807062
3000, 0.833302813077, 0.965753348214, 0.754865246976, 0.929931390427
3250, 0.865254044439, 0.973606933594, 0.816177116086, 0.920610582511
3500, 0.864883119722, 0.974305873326, 0.838141393268, 0.893387528522
3750, 0.873173401063, 0.975367303757, 0.829895384655, 0.921213546507
4000, 0.875187088015, 0.976900878906, 0.87060028315, 0.879822480529
4250, 0.862851903338, 0.973867420015, 0.834609156989, 0.893073037456
4500, 0.875552590983, 0.976266671317, 0.846201958586, 0.907012443489
4750, 0.867915761542, 0.974843191964, 0.839847032787, 0.897925546198
5000, 0.859471693941, 0.972338518415, 0.807209149381, 0.918970176901
5250, 0.867808205867, 0.975960518973, 0.878639971064, 0.857240253745
5500, 0.875046281912, 0.976388648624, 0.853078947267, 0.898174865621
5750, 0.876825984029, 0.97679015532, 0.85710126076, 0.897479954036
6000, 0.87252971697, 0.976111304874, 0.857381534095, 0.888222802143
6250, 0.880941508394, 0.97811546689, 0.882293277995, 0.879593874573
6500, 0.88504299413, 0.978493722098, 0.871138100487, 0.899398981049
6750, 0.883122695426, 0.978043154762, 0.865760517297, 0.901195495478
7000, 0.888101805652, 0.979261997768, 0.882226228675, 0.894056169367
7250, 0.878256611117, 0.977098632812, 0.859894688052, 0.897419834459
