epoch, f1, accuracy, precision, recall
250, 0.761401258936, 0.957215192522, 0.782244261565, 0.741640158059
500, 0.804323966004, 0.96134484282, 0.753045856225, 0.863095850057
750, 0.819176878594, 0.968321940104, 0.863055843688, 0.779543783345
1000, 0.78795198623, 0.955332007999, 0.699739887713, 0.901613048676
1250, 0.836044886516, 0.970328264509, 0.850711907305, 0.82187503868
1500, 0.850053565798, 0.97251343936, 0.853712816737, 0.846425550113
1750, 0.842434608373, 0.97008703032, 0.817669614471, 0.86874658512
2000, 0.85798937828, 0.974235839844, 0.87080850404, 0.845542196491
2250, 0.845635650211, 0.971173642113, 0.833814798618, 0.857796486137
2500, 0.856661634921, 0.973395182292, 0.849732334992, 0.863704876531
2750, 0.858696627857, 0.974305292039, 0.869475059616, 0.848182153226
3000, 0.862553077404, 0.975050804501, 0.874970828866, 0.850482863773
3250, 0.851910640983, 0.972356980097, 0.840342831473, 0.863801370979
3500, 0.863225915817, 0.975048572359, 0.871186090976, 0.855409890479
3750, 0.852236522696, 0.972360049293, 0.838958664741, 0.865941425849
4000, 0.869033179919, 0.976201241629, 0.880561250182, 0.857803053822
4250, 0.861433290575, 0.973247884115, 0.823194260303, 0.903397943355
4500, 0.860274311551, 0.973897228423, 0.847930815948, 0.872982489289
4750, 0.85856713146, 0.973423758371, 0.841495154184, 0.876346154381
5000, 0.873773587239, 0.976027227493, 0.847776279491, 0.901415765526
