epoch, f1, accuracy, precision, recall
250, 0.733167007989, 0.94669547526, 0.679831799997, 0.795583332933
500, 0.787468801818, 0.958411156064, 0.743441477993, 0.837039065348
750, 0.834822937447, 0.969773995536, 0.839887168613, 0.829819411399
1000, 0.834155239505, 0.968829124814, 0.817380695852, 0.851632713841
1250, 0.838351843387, 0.970620977493, 0.849325234733, 0.827658390457
1500, 0.829545729891, 0.966795735677, 0.786338197344, 0.87777765709
1750, 0.846597992354, 0.97080515253, 0.819800436833, 0.875206661047
2000, 0.848293240907, 0.972125720796, 0.849944794141, 0.846648093591
2250, 0.855011469461, 0.971709402902, 0.809272484347, 0.906230383778
2500, 0.863411311556, 0.975283179874, 0.878642452429, 0.848699232111
2750, 0.866013510425, 0.974438964844, 0.836722721019, 0.897429433383
3000, 0.857209272106, 0.973376650856, 0.846516193071, 0.868175954341
3250, 0.73156247502, 0.959318801153, 0.931644499188, 0.602226899873
3500, 0.856084009493, 0.973510486421, 0.856235545978, 0.855932526636
3750, 0.867306155076, 0.974927083333, 0.845565643941, 0.890194118032
4000, 0.869412544506, 0.976257231213, 0.880452795666, 0.858645738318
4250, 0.867016326763, 0.974597400484, 0.836682070088, 0.899632891673
4500, 0.871704600711, 0.976700334821, 0.883799749993, 0.859936035801
4750, 0.854558724366, 0.972958798363, 0.846228168704, 0.863054928328
5000, 0.860922929844, 0.974387393043, 0.860612929526, 0.861233153572
