epoch, f1, accuracy, precision, recall
250, 0.71731294625, 0.932600190662, 0.584191734065, 0.929008378093
500, 0.809799164999, 0.964107747396, 0.790478980857, 0.830087423464
750, 0.79003758553, 0.964615699405, 0.870447293815, 0.723227653389
1000, 0.83709856696, 0.970472353981, 0.85039490337, 0.824211618891
1250, 0.823347590499, 0.964617978051, 0.761747882177, 0.89578650174
1500, 0.848036398479, 0.971804780506, 0.841485618756, 0.85468997117
1750, 0.852268775424, 0.971671781994, 0.81953030938, 0.887731741394
2000, 0.857568815642, 0.974383184524, 0.878278500883, 0.837813294358
2250, 0.84817225309, 0.972506045387, 0.862501113101, 0.834311707884
2500, 0.859814996027, 0.974411458333, 0.867230575008, 0.85252516118
2750, 0.86545885367, 0.975095400856, 0.860749502665, 0.870220019971
3000, 0.855889794252, 0.97238374256, 0.823497053797, 0.890935256015
3250, 0.869105422781, 0.975954868862, 0.870985197855, 0.867233744159
3500, 0.870713988906, 0.976582473028, 0.885205752906, 0.856689073418
3750, 0.866260792971, 0.97530875651, 0.863793181396, 0.868742543467
4000, 0.868797620955, 0.975837355841, 0.868475800361, 0.869119680144
4250, 0.870748440288, 0.976505743118, 0.882022227324, 0.859759213515
4500, 0.874434465995, 0.977009323847, 0.879226274688, 0.869694605177
4750, 0.871482511442, 0.975839704241, 0.853782296654, 0.889932168445
5000, 0.874333837341, 0.97617468843, 0.849697034706, 0.900441979935
5250, 0.877823734429, 0.977825823103, 0.89058974423, 0.865418537089
5500, 0.873971671295, 0.977184872582, 0.88901437039, 0.859429566252
5750, 0.871484405774, 0.976521368118, 0.878233703417, 0.864838054783
6000, 0.878472582025, 0.977639508929, 0.878947750398, 0.877997927138
6250, 0.86461114109, 0.973077125186, 0.804866229626, 0.933936920418
6500, 0.872424363519, 0.975882696243, 0.850170870018, 0.895874155074
6750, 0.872367889048, 0.975287039621, 0.831438877179, 0.917535137746
7000, 0.88328140295, 0.978128324963, 0.868026611973, 0.89908196395
7250, 0.87841655017, 0.97683328683, 0.849668995021, 0.909177506083
7500, 0.865075849445, 0.975169921875, 0.865381557697, 0.864770357108
7750, 0.882512375082, 0.978254766555, 0.8778151594, 0.887260131096
8000, 0.864940198421, 0.974283226376, 0.837173564222, 0.894611896553
8250, 0.850198608259, 0.972046875, 0.838930557922, 0.861773471959
8500, 0.874974479138, 0.977246884301, 0.885224033279, 0.864959556954
8750, 0.881856432311, 0.977737560454, 0.862000465088, 0.902648722067
9000, 0.879675547984, 0.978151599702, 0.892035085669, 0.86765382339
9250, 0.877419528631, 0.977569173177, 0.882756578806, 0.872146625081
9500, 0.877333474274, 0.977712634859, 0.889098495192, 0.865875749
9750, 0.858295726792, 0.972495977493, 0.816243472079, 0.904916341587
10000, 0.8737882111, 0.976711844308, 0.871796380505, 0.875789164179
